iter	Logloss
0	0.6056396417
1	0.53250236
2	0.47282508
3	0.4338126662
4	0.4004542711
5	0.3769717611
6	0.3545447252
7	0.3401374478
8	0.327594791
9	0.3171047804
10	0.307530287
11	0.301924608
12	0.2966127726
13	0.292066196
14	0.2876010607
15	0.2844112549
16	0.2795695665
17	0.2773940667
18	0.2754327664
19	0.2733230421
20	0.2718012424
21	0.2704525214
22	0.2691628316
23	0.2669921231
24	0.2655386115
25	0.2641795315
26	0.2633625997
27	0.2626139221
28	0.2615375604
29	0.2601347521
30	0.2590606927
31	0.2583172607
32	0.2574031135
33	0.2567053019
34	0.2559805467
35	0.2552818773
36	0.2547880113
37	0.2540723843
38	0.2532136332
39	0.2525708042
40	0.2517806803
41	0.2507488437
42	0.2500091044
43	0.249362993
44	0.2489350857
45	0.2484276225
46	0.2480644396
47	0.2478070068
48	0.2475216404
49	0.2472173462
50	0.2468895501
51	0.2464551934
52	0.2459367879
53	0.2457913411
54	0.2454717814
55	0.2450520325
56	0.2446897007
57	0.2443900079
58	0.2439603678
59	0.2433709106
60	0.2429836494
61	0.2426413676
62	0.2423777805
63	0.2420522122
64	0.2415920207
65	0.2412985535
66	0.2410990634
67	0.2405949639
68	0.2402650214
69	0.2397962002
70	0.2393689473
71	0.2388433397
72	0.2382839355
73	0.2378914354
74	0.2372819858
75	0.2369191488
76	0.2363985257
77	0.2356050212
78	0.2354094442
79	0.2350435147
80	0.234631307
81	0.2344008755
82	0.2340841946
83	0.2338239102
84	0.2335731744
85	0.2330460748
86	0.232851437
87	0.2322529161
88	0.2320340695
89	0.2317946981
90	0.2311046397
91	0.2306756439
92	0.2302285784
93	0.2298540548
94	0.2293873494
95	0.2291423933
96	0.2286889869
97	0.2282457174
98	0.2280343221
99	0.2276647458
100	0.2273377058
101	0.2269135064
102	0.2267281799
103	0.2264585741
104	0.2262908817
105	0.2259196014
106	0.2256028002
107	0.2253366326
108	0.2251598901
109	0.224572113
110	0.2243109724
111	0.2236956838
112	0.2232172733
113	0.2227406514
114	0.222452752
115	0.2218563385
116	0.2216242371
117	0.2210914595
118	0.2206052009
119	0.2203009203
120	0.2199168922
121	0.219710734
122	0.2191935255
123	0.2189108276
124	0.2185725657
125	0.2183224114
126	0.2179079471
127	0.2175967695
128	0.2173687998
129	0.2168590936
130	0.2165511441
131	0.2162861718
132	0.2159916874
133	0.2155152707
134	0.2151977912
135	0.2148323483
136	0.2145686086
137	0.2142783983
138	0.2138806525
139	0.2136247423
140	0.2132970852
141	0.2129682753
142	0.2127515394
143	0.2124963803
144	0.2120902676
145	0.2118998057
146	0.2116376428
147	0.2111824816
148	0.2110162777
149	0.2106727244
150	0.2104357012
151	0.2100484924
152	0.2097369232
153	0.209448015
154	0.2092415568
155	0.2090130225
156	0.2086148648
157	0.208203754
158	0.2080213114
159	0.2075430976
160	0.2072060716
161	0.2068619826
162	0.2065891842
163	0.2063436008
164	0.2062014618
165	0.2058584544
166	0.205551178
167	0.2053307326
168	0.2048293728
169	0.2044880456
170	0.2042923957
171	0.2040218387
172	0.203787184
173	0.2033360697
174	0.2030964237
175	0.2027441491
176	0.2024708574
177	0.2022058478
178	0.2019257626
179	0.2017084588
180	0.2013432787
181	0.2008973355
182	0.2007406582
183	0.2004018775
184	0.2001089715
185	0.1997170698
186	0.1994877591
187	0.199166058
188	0.1989554359
189	0.1986790805
190	0.1984669495
191	0.1982096286
192	0.197905482
193	0.1974171736
194	0.1971792111
195	0.1969063839
196	0.1966771834
197	0.1964248081
198	0.1961344621
199	0.1958395538
